tarif-id;kaynak-url;lisans;yazar
paca-corbasi;https://commons.wikimedia.org/w/index.php?curid=62033411;by-sa 4.0;Jwslubbock
arabasi-corbasi;https://commons.wikimedia.org/w/index.php?curid=45190595;by-sa 4.0;E4024
kesme-corbasi;https://commons.wikimedia.org/w/index.php?curid=48547781;by-sa 4.0;E4024
kapak-mutfak-turk;https://www.flickr.com/photos/60449142@N00/123255648;by 2.0;d u y g u
kapak-mutfak-italyan;https://www.flickr.com/photos/38315261@N00/833149342;by 2.0;Sharon Mollerus
kapak-mutfak-uzakdogu;https://www.flickr.com/photos/77742560@N06/11113677663;by 2.0;shankar s.
kapak-mutfak-ortadogu;https://www.flickr.com/photos/46639194@N05/4827468359;by 2.0;Charles de Mille-Isles
kapak-mutfak-meksika;https://commons.wikimedia.org/w/index.php?curid=106035343;by-sa 4.0;NachoGalar
kapak-mutfak-hint;https://www.flickr.com/photos/182829372@N05/48738960958;by 2.0;Russ TAH
kapak-mutfak-balkan;https://commons.wikimedia.org/w/index.php?curid=11435443;by-sa 3.0;w:he:משתמש:assayas
kapak-mutfak-akdeniz;https://www.flickr.com/photos/16105436@N00/2848365145;by 2.0;Kai Hendry
kapak-mutfak-fransiz;https://www.flickr.com/photos/10559879@N00/3097935110;by-sa 2.0;avlxyz
etli-kuru-fasulye;https://commons.wikimedia.org/w/index.php?curid=39549282;by-sa 4.0;E4024
sebzeli-mercimek-corbasi;https://www.flickr.com/photos/25977089@N00/6939096996;by 2.0;goblinbox_(queen_of_ad_hoc_bento)
dugun-corbasi;https://commons.wikimedia.org/w/index.php?curid=41817464;by-sa 4.0;E4024
sebze-corbasi;https://commons.wikimedia.org/w/index.php?curid=59981503;by-sa 4.0;E4024
gul-boregi;https://commons.wikimedia.org/w/index.php?curid=132775131;by-sa 4.0;Samizambak
kiymali-gozleme;https://commons.wikimedia.org/w/index.php?curid=19950249;by-sa 3.0;Haeferl
catal-corek;https://www.flickr.com/photos/38559542@N02/4051638203;by 2.0;La.Catholique
peynirli-pide;https://www.flickr.com/photos/59134591@N00/8608983509;by 2.0;mattkrause1969
coban-salata;https://commons.wikimedia.org/w/index.php?curid=43756452;by-sa 4.0;E4024
humus;https://www.flickr.com/photos/14529257@N03/5261207851;by 2.0;Steve A Johnson
kabak-cicegi-dolmasi;https://commons.wikimedia.org/w/index.php?curid=39850765;by-sa 4.0;E4024
patlicanli-yogurtlu-tepsi;https://commons.wikimedia.org/w/index.php?curid=42965567;by-sa 4.0;E4024
zeytinyagli-pirasa;https://commons.wikimedia.org/w/index.php?curid=53818675;by-sa 4.0;E4024
zeytinyagli-borulce;https://www.flickr.com/photos/58541536@N00/6875104434;by 2.0;Erik Anestad
tirit-corbasi;https://commons.wikimedia.org/w/index.php?curid=129500527;by-sa 4.0;Puterakahaku1
domates-feslegen-corbasi;https://www.flickr.com/photos/25977089@N00/6939096996;by 2.0;goblinbox_(queen_of_ad_hoc_bento)
brokoli-corbasi;https://commons.wikimedia.org/w/index.php?curid=48251266;by-sa 4.0;E4024
havuc-zencefil-corbasi;https://www.flickr.com/photos/25977089@N00/6939096996;by 2.0;goblinbox_(queen_of_ad_hoc_bento)
inegol-koftesi;https://commons.wikimedia.org/w/index.php?curid=52954766;by-sa 4.0;E4024
sis-kofte;https://commons.wikimedia.org/w/index.php?curid=47260800;by-sa 4.0;E4024
kuzu-haslama;https://commons.wikimedia.org/w/index.php?curid=53714868;by-sa 4.0;E4024
cop-sis;https://commons.wikimedia.org/w/index.php?curid=68400016;by-sa 4.0;E4024
misir-ekmegi;https://commons.wikimedia.org/w/index.php?curid=38494715;by-sa 4.0;E4024
sehriyeli-bulgur;https://commons.wikimedia.org/w/index.php?curid=44367157;by-sa 4.0;E4024
mercimekli-bulgur-pilavi;https://commons.wikimedia.org/w/index.php?curid=148803697;by-sa 4.0;Caria Sekirman
tarator;https://commons.wikimedia.org/w/index.php?curid=28629742;by-sa 3.0;Armineaghayan
kozlenmis-patlican-domatesli;https://www.flickr.com/photos/10559879@N00/3697196377;by-sa 2.0;avlxyz
patatesli-biber-sote;https://commons.wikimedia.org/w/index.php?curid=42965567;by-sa 4.0;E4024
zeytinyagli-taze-fasulye;https://commons.wikimedia.org/w/index.php?curid=48504042;by-sa 4.0;E4024
zeytinyagli-semizotu;https://commons.wikimedia.org/w/index.php?curid=59886493;by-sa 4.0;E4024
patlican-kizartma;https://commons.wikimedia.org/w/index.php?curid=42965567;by-sa 4.0;E4024
patlican-sote;https://commons.wikimedia.org/w/index.php?curid=42965567;by-sa 4.0;E4024
magnolia;https://www.flickr.com/photos/79721788@N00/7051803419;by 2.0;D-Stanley
susamli-kurabiye;https://www.flickr.com/photos/90454079@N00/6192852888;by 2.0;Jun Seita
kazandibi;https://commons.wikimedia.org/w/index.php?curid=92327337;by-sa 4.0;Garrett Ziegler
sogan-corbasi;https://www.flickr.com/photos/14756250@N02/2075745618;by-sa 2.0;auselen
tarhana-corbasi;https://commons.wikimedia.org/w/index.php?curid=57298808;by-sa 4.0;E4024
bruschetta;https://www.flickr.com/photos/57499798@N00/15506104043;by 2.0;Lima Pix
akcaabat-koftesi;https://commons.wikimedia.org/w/index.php?curid=3187575;by-sa 3.0;Original uploader was Cemertem at tr.wikipedia
tava-ekmegi;https://commons.wikimedia.org/w/index.php?curid=51272930;by-sa 4.0;E4024
bazlama;https://commons.wikimedia.org/w/index.php?curid=52395130;by-sa 4.0;E4024
pisi;https://commons.wikimedia.org/w/index.php?curid=3275680;by-sa 3.0;Honacan at Turkish Wikipedia
ispanakli-pilav;https://www.flickr.com/photos/10559879@N00/3060369629;by-sa 2.0;avlxyz
etli-pilav;https://commons.wikimedia.org/w/index.php?curid=44244076;by-sa 4.0;E4024
patlicanli-pilav;https://www.flickr.com/photos/10559879@N00/3061206332;by-sa 2.0;avlxyz
sarimsakli-patates;https://commons.wikimedia.org/w/index.php?curid=42965567;by-sa 4.0;E4024
bezelyeli-havuc-sote;https://www.flickr.com/photos/58541536@N00/6875104434;by 2.0;Erik Anestad
tahinli-kurabiye;https://www.flickr.com/photos/74852993@N00/2866736377;by 2.0;tuhfe
etimek-tatlisi;https://commons.wikimedia.org/w/index.php?curid=22442106;by 2.0;James Gordon from Los Angeles, California, USA
tarcinli-kurabiye;https://www.flickr.com/photos/53190938@N06/9797774584;by-sa 2.0;İnci Mercan
keskul;https://commons.wikimedia.org/w/index.php?curid=47657267;by-sa 4.0;E4024
et-kavurma;https://commons.wikimedia.org/w/index.php?curid=43032440;by-sa 4.0;Zekeriyakurtulmus
sigara-boregi;https://commons.wikimedia.org/w/index.php?curid=7643687;by-sa 3.0;CMoi
zeytin-ezmesi;https://commons.wikimedia.org/w/index.php?curid=43835384;by-sa 4.0;E4024
ispanakli-yumurta;https://commons.wikimedia.org/w/index.php?curid=151735374;by-sa 4.0;Anagoria
bezelyeli-pilav;https://commons.wikimedia.org/w/index.php?curid=48251213;by-sa 4.0;E4024
sogan-piyazli-pilav;https://www.flickr.com/photos/10559879@N00/3061206332;by-sa 2.0;avlxyz
karnabahar-salatasi;https://commons.wikimedia.org/w/index.php?curid=143917720;by-sa 4.0;Samizambak
sumakli-sogan-salatasi;https://www.flickr.com/photos/59134591@N00/8375875510;by 2.0;mattkrause1969
kereviz-salatasi;https://commons.wikimedia.org/w/index.php?curid=57089640;by-sa 4.0;E4024
